adverb,label_name,predicted_name,text
Perhaps,Attitudinal,Epistemic,"coping strategy, and/or to accumulate assets to reduce household-level uncertainty. **PERHAPS** <<LEXICON:EPISTEMIC>> the most influential early Africanist to explore the topic of"
actually,Attitudinal,Epistemic,"While forcing people to agree to proposals they do not **ACTUALLY** <<EVALUATIVE>> <<LEXICON:ATTITUDINAL>> accept is extremely problematic, the other option is to disqualify"
indeed,Epistemic,Attitudinal,"else's business, it is argued. It is tempting and **INDEED** <<LEXICON:EPISTEMIC>> justifiable for the purposes of straightforward situations such as these,"
actually,Non-stance,Epistemic,relationship they struggled to identify anyone else that they could **ACTUALLY** <<LEXICON:EPISTEMIC>> confide in.I mean there were times when I just did
Probably.,Epistemic,Non-stance,wonder why ....???????????!!!!!!!!! Have I already said that album is good? **PROBABLY.** <<LEXICON:EPISTEMIC>> I would like WJSN to just be Exy plus a
perhaps,Epistemic,Attitudinal,"is common to both phenomenology and Goethean science. It is **PERHAPS** <<LEXICON:EPISTEMIC>> most succinctly expressed by Franz Brentano, a teacher of both"
Probably,Epistemic,Attitudinal,"hearing aids, lots of disruption /cutting out/ intermittent ringing sound **PROBABLY** <<LEXICON:EPISTEMIC>> the best I've tried! I get a full weeks"
indeed,Attitudinal,Epistemic,science? To my mind he was a great scientist and **INDEED** <<LEXICON:EPISTEMIC>> a great humanitarian. He made many major and original contributions
perhaps,Epistemic,Attitudinal,of their unique collaboration was about to begin. It is **PERHAPS** <<LEXICON:EPISTEMIC>> hard to see what Picasso found to admire that was
clearly,Attitudinal,Epistemic,specific heat ratio is denoted by the notation β. It is **CLEARLY** <<LEXICON:EPISTEMIC>> evident from Fig. 8 that the maximum absolute error occurs
maybe),Non-stance,Epistemic,"Well, I upgraded from the 3B, thinking that maybe (just **MAYBE)** <<LEXICON:NONSTANCE>> this could scrape through as a desktop PC. Honestly, it"
actually,Epistemic,Attitudinal,"face, this face that she never pulls when she is **ACTUALLY** <<LEXICON:EPISTEMIC>> upset, is one of the funniest yet sweetest things. LP"
really,Attitudinal,Epistemic,"comfortable about losing the defensive midfielder. Point taken, and I **REALLY** <<LEXICON:EPISTEMIC>> feel sorry for Rocky at the moment, and hope he"
perhaps,Epistemic,Attitudinal,"are a number of difficulties that afflict epistemic heroism, but **PERHAPS** <<LEXICON:EPISTEMIC>> the most pressing is that it doesn't seem altogether"
clearly:,Epistemic,Non-stance,syntax of the two modes. Kress (1982) states the position **CLEARLY:** <<LEXICON:NONSTANCE>> The sentence is not a unit of typical spoken language.
maybe,Epistemic,Non-stance,"Lady. FED I've had vivid dreams/nightmares for 2 or **MAYBE** <<LEXICON:NONSTANCE>> 3 years They are quite violent, my GF often tells"
maybe,Attitudinal,Epistemic,"created or destroyed, only transferred (or something like that?). So **MAYBE** <<LEXICON:NONSTANCE>> it's possible that the universe has always existed and"
probably,Attitudinal,Epistemic,"some top players now, despite their poor form. This is **PROBABLY** <<LEXICON:EPISTEMIC>> the best ever Wednesday side. Likewise the leaking of 3"
clearly,Epistemic,Non-stance,of them if the learning materials that they use are **CLEARLY** <<LEXICON:EPISTEMIC>> presented and legible. When there is a need for modification
